Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-06-07,SD,13.0,29.0,1.0,5258.0
2020-06-07,TN,49.0,137.0,7.0,24700.0
2020-06-07,TX,497.0,336.0,85.0,81430.0
2020-06-07,UT,16.0,26.0,3.0,4976.0
2020-06-07,VA,250.0,171.0,65.0,24425.0
2020-06-07,VT,0.0,18.0,1.0,2196.0
2020-06-07,WA,37.0,70.0,4.0,13329.0
2020-06-07,WI,81.0,188.0,19.0,19832.0
2020-06-07,WV,5.0,56.0,0.0,8442.0
2020-06-07,WY,2.0,8.0,0.0,2164.0
2020-06-14,AK,0.0,4.0,2.0,655.0
2020-06-14,AL,191.0,116.0,27.0,20476.0
2020-06-14,AR,75.0,78.0,12.0,16353.0
2020-06-14,AZ,119.0,80.0,20.0,10522.0
2020-06-14,CA,839.0,573.0,193.0,89257.0
2020-06-14,CO,57.0,108.0,35.0,14525.0
2020-06-14,CT,115.0,131.0,46.0,17713.0
2020-06-14,DC,28.0,14.0,2.0,1811.0
2020-06-14,DE,17.0,27.0,12.0,3347.0
2020-06-14,FL,204.0,405.0,100.0,65185.0
2020-06-14,GA,241.0,230.0,73.0,29271.0
2020-06-14,GU,0.0,0.0,0.0,10.0
2020-06-14,HI,0.0,12.0,0.0,3473.0
2020-06-14,IA,37.0,137.0,30.0,21339.0
2020-06-14,ID,0.0,18.0,1.0,3834.0
2020-06-14,IL,462.0,441.0,190.0,58097.0
2020-06-14,IN,237.0,238.0,61.0,34652.0
2020-06-14,KS,29.0,84.0,5.0,15996.0
2020-06-14,KY,75.0,114.0,13.0,20952.0
2020-06-14,LA,233.0,179.0,88.0,22959.0
2020-06-14,MA,287.0,273.0,121.0,29786.0
2020-06-14,MD,268.0,210.0,88.0,19646.0
2020-06-14,ME,2.0,38.0,1.0,5429.0
2020-06-14,MI,65.0,599.0,38.0,32144.0
2020-06-14,MN,66.0,185.0,37.0,20943.0
2020-06-14,MO,153.0,170.0,35.0,35443.0
2020-06-14,MS,183.0,96.0,40.0,14269.0
2020-06-14,MT,0.0,15.0,0.0,3695.0
2020-06-14,NC,231.0,213.0,56.0,33252.0
2020-06-14,ND,4.0,30.0,1.0,4895.0
2020-06-14,NE,5.0,65.0,10.0,10157.0
2020-06-14,NH,84.0,77.0,29.0,5730.0
2020-06-14,NJ,314.0,537.0,126.0,33010.0
2020-06-14,NM,10.0,43.0,9.0,4756.0
2020-06-14,NV,14.0,22.0,5.0,5041.0
2020-06-14,NY,811.0,565.0,182.0,86357.0
2020-06-14,OH,316.0,461.0,72.0,64692.0
2020-06-14,OK,30.0,73.0,5.0,16641.0
2020-06-14,OR,9.0,74.0,8.0,6691.0
2020-06-14,PA,361.0,859.0,117.0,65742.0
2020-06-14,PR,0.0,0.0,0.0,77.0
2020-06-14,RI,62.0,59.0,17.0,6234.0
2020-06-14,SC,124.0,102.0,24.0,15878.0
2020-06-14,SD,11.0,25.0,1.0,5297.0
2020-06-14,TN,64.0,139.0,8.0,24756.0
2020-06-14,TX,433.0,388.0,54.0,81861.0
2020-06-14,UT,8.0,28.0,6.0,5030.0
2020-06-14,VA,105.0,140.0,32.0,24414.0
2020-06-14,VT,0.0,7.0,0.0,2203.0
2020-06-14,WA,60.0,72.0,8.0,13127.0
2020-06-14,WI,26.0,147.0,17.0,19868.0
2020-06-14,WV,3.0,54.0,0.0,8620.0
2020-06-14,WY,0.0,12.0,0.0,2182.0
2020-06-21,AK,1.0,0.0,0.0,662.0
2020-06-21,AL,298.0,110.0,26.0,20681.0
2020-06-21,AR,106.0,102.0,23.0,16312.0
2020-06-21,AZ,193.0,81.0,34.0,10452.0
2020-06-21,CA,923.0,575.0,212.0,89176.0
2020-06-21,CO,40.0,106.0,25.0,14506.0
2020-06-21,CT,72.0,118.0,33.0,17675.0
2020-06-21,DC,1.0,10.0,7.0,1909.0
2020-06-21,DE,12.0,33.0,7.0,3372.0
2020-06-21,FL,352.0,414.0,62.0,65212.0
2020-06-21,GA,254.0,161.0,60.0,29839.0
2020-06-21,GU,0.0,0.0,0.0,9.0
2020-06-21,HI,7.0,12.0,0.0,3433.0
2020-06-21,IA,40.0,110.0,14.0,21362.0
2020-06-21,ID,0.0,21.0,0.0,3804.0
2020-06-21,IL,435.0,465.0,152.0,58305.0
2020-06-21,IN,127.0,250.0,68.0,34453.0
2020-06-21,KS,32.0,92.0,7.0,16036.0
2020-06-21,KY,111.0,118.0,19.0,21191.0
2020-06-21,LA,215.0,192.0,77.0,23013.0
2020-06-21,MA,134.0,224.0,101.0,30697.0
2020-06-21,MD,123.0,188.0,64.0,19814.0
2020-06-21,ME,16.0,29.0,1.0,5459.0
2020-06-21,MI,46.0,620.0,28.0,32353.0
2020-06-21,MN,41.0,181.0,43.0,21469.0
2020-06-21,MO,77.0,188.0,23.0,35510.0
2020-06-21,MS,116.0,88.0,31.0,14244.0
2020-06-21,MT,0.0,18.0,0.0,3701.0
2020-06-21,NC,101.0,183.0,28.0,33481.0
2020-06-21,ND,1.0,32.0,0.0,4895.0
